2026-03-26 04:26:11 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:26:42 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:27:13 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:27:44 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:28:15 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:28:46 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:29:17 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:29:48 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:30:19 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:30:50 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:31:21 | 4G_state=DOWN 4G_ip=none 4G_ping=FAIL 4G_signal=N/A rssi=N/A rsrp=N/A snr=N/A | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:31:56 | 4G_state=DOWN 4G_ip=19.201.74.100 4G_ping=FAIL 4G_signal=GOOD rssi=-59dBm rsrp=-96dBm snr=3.0dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:32:32 | 4G_state=DOWN 4G_ip=19.201.74.100 4G_ping=FAIL 4G_signal=GOOD rssi=-54dBm rsrp=-95dBm snr=-0.4dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:33:07 | 4G_state=DOWN 4G_ip=19.201.74.100 4G_ping=FAIL 4G_signal=GOOD rssi=-56dBm rsrp=-94dBm snr=3.2dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:33:24 | 4G_state=DOWN 4G_ip=19.201.74.100 4G_ping=FAIL 4G_signal=GOOD rssi=-61dBm rsrp=-95dBm snr=4.4dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
2026-03-26 04:33:59 | 4G_state=DOWN 4G_ip=19.201.74.100 4G_ping=FAIL 4G_signal=GOOD rssi=-59dBm rsrp=-95dBm snr=1.6dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wlan0
